id,name,founded_year,website,facebook,instagram,linkedin,contact_phone,bio,head_office_location,total_residential_projects,total_commercial_projects,is_active,sort,deleted_at,created_at,updated_at,total_projects_count
11,"{""ar"": ""بالم هيلز ديفيلوبمنتس"", ""en"": ""Palm Hills Developments""}",1997,https://www.palmhillsdevelopments.com,https://www.facebook.com/PalmHillsDevelopments/,https://www.instagram.com/palmhillsdevelopments/,https://www.linkedin.com/company/palm-hills-developments/,19743,"{""ar"": ""شركة بالم هيلز ديفيلوبمنتس هي مطور عقاري مصري رائد يركّز على المجتمعات المتكاملة السكنية والتجارية والمنتجعات. تأسست عام ١٩٩٧ وتدير أحد أكبر بنوك الأراضي في البلاد، وتطوّر مجتمعات مخططة في غرب القاهرة وشرق القاهرة والساحل الشمالي والإسكندرية. تضم محفظتها ٤٨ مشروعًا تشمل تطويرات سكنية ومشروعات متعددة الاستخدامات."", ""en"": ""Palm Hills Developments is a leading Egyptian real estate developer focused on integrated residential, commercial and resort communities. Founded in 1997, the company manages one of the countrys largest land banks and develops masterplanned communities across West Cairo, East Cairo, the North Coast and Alexandria. Its portfolio includes 48 projects spanning residential and mixed-use developments.""}","Smart Village, A4 - B84; Kilo 28 Cairo Alex Desert Road, Abou Rawash, Giza, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,48
12,"{""ar"": ""القمزي ديفلوبمنتس"", ""en"": ""AlQamzi Developments""}",1997,https://www.alqamzi.com/,https://www.facebook.com/alqamzidevelopment/,https://www.instagram.com/alqamzi_developments/,https://www.linkedin.com/company/alqamzi-development/,+20 16480,"{""ar"": ""القمزي ديفلوبمنتس هي شركة تطوير عقاري مصرية-إماراتية متخصصة في إنشاء مجتمعات سكنية ومشروعات متعددة الاستخدام ذات طابع فاخر في مصر. تأسست مجموعة القمزي على يد عبدالله القمزي عام 1997 ودشّن فرع التطوير في مصر عام 2010، وتتميز الشركة بتركيزها على التصميمات الفاخرة ودمج الجودة والمرافق المتقدمة. يتضمن محفظتها مشروع إيستشاير في القاهرة الجديدة وتعمل باستراتيجية تستند إلى الخبرة الإقليمية ومعايير مرجعية للتطوير الراقي."", ""en"": ""AlQamzi Developments is an Egyptian–Emirati real estate developer delivering high-end residential communities and mixed-use projects in Egypt. Founded by Abdullah Al Qamzi (group founded 1997) and established in Egypt in 2010, the company emphasizes luxury design, quality integration and next-generation amenities. Their portfolio includes projects such as Eastshire in New Cairo and they position themselves on regional expertise and benchmark standards for premium developments.""}","161 Al Moltaqa Al Araby, Sheraton, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
13,"{""ar"": ""بي آر إي للتطوير"", ""en"": ""PRE Developments""}",2017,https://predevelopments.com/,https://www.facebook.com/PREDevelopments/,https://instagram.com/predevelopments,https://www.linkedin.com/company/pre-developments/,NULL,"{""ar"": ""بي آر إي للتطوير هي شركة مصرية تأسست عام 2017، وتعمل كمطور ومستثمر ومشغل للمشاريع العقارية متعددة الاستخدامات. تلتزم الشركة بتقديم مفاهيم مبتكرة لسوق العقارات المصري. تضم محفظتها المتنوعة مشاريع بارزة مثل حدائق أكتوبر، إيفوار، ستون ريزيدنس، ذا بروكس، وجبال."", ""en"": ""PRE Developments is an Egyptian-based company established in 2017, operating as a developer, investor, and operator of mixed-use real estate projects. The company is dedicated to introducing innovative concepts to the Egyptian real estate market. Its diverse portfolio includes prominent projects such as Hadaba, Ivoire, Stone Residence, The Brooks, and Jebal.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,8
14,"{""ar"": ""حسن علام بروبرتيز"", ""en"": ""Hassan Allam Properties""}",1936,https://hap.com.eg/,https://www.facebook.com/HassanAllamProperties/,https://www.instagram.com/hassanallamproperties/,https://www.linkedin.com/company/hassan-allam-properties/,19172,"{""ar"": ""حسن علام العقارية هي مطور عقاري رائد في مصر، معروفة بالتزامها بإنشاء مجتمعات متكاملة. طورت الشركة العديد من المشاريع البارزة في شرق وغرب القاهرة، بما في ذلك مجتمعات معروفة مثل سوان ليك قطامية، سيزونز، بارك فيو، وسوان ليك أكتوبر. بصفتها العلامة التجارية العقارية المخصصة لمجموعة حسن علام القابضة، فإنها تستفيد من إرث يمتد لأكثر من 90 عامًا في العمليات المتنوعة."", ""en"": ""Hassan Allam Properties is a leading real estate developer in Egypt, recognized for its commitment to creating integrated communities. The company has developed numerous prominent projects across East and West Cairo, including well-known communities such as Swan Lake Katameya, Seasons, Park View, and Swan Lake October. As the dedicated real estate brand of the Hassan Allam Holding group, it leverages a legacy of over 90 years in diversified operations.""}","15 Hassan Allam Street, First Floor, Alsabaa Omarat, Al Nozha, Cairo / 146, El Sayed El Merghany St, Heliopolis, Cairo",0,0,1,0,NULL,1/10/2026 12:38,NULL,9
15,"{""ar"": ""بيتر هوم"", ""en"": ""Better Home""}",2003,https://www.betterhome.com.eg/,https://www.facebook.com/betterhomegroup/,https://www.instagram.com/betterhome_egypt/,https://www.linkedin.com/company/20274387,19636,"{""ar"": ""تأسست مجموعة بيتر هوم من شركة بيتر بيزنس، وهي شركة متخصصة في استيراد وتصدير مكونات تكنولوجيا المعلومات، وقد أنشئت في عام 1992. تحولت بيتر بيزنس إلى شركة مساهمة في عام 1997 وانضمت لاحقًا إلى مجموعة بيتر هوم في عام 2003، مما أدى إلى توسيع نطاق عملياتها. كمجموعة رائدة في الاستثمار والتطوير العقاري، تلتزم مجموعة بيتر هوم بإنشاء مجتمعات مستدامة عالمية المستوى توفر أنماط حياة فاخرة."", ""en"": ""Better Home Group originated from Better Business, an IT import/export company established in 1992. Better Business became a joint stock company in 1997 and subsequently joined Better Home Group in 2003, expanding its operational scope. As a prominent real estate investment and development group, Better Home Group is dedicated to creating sustainable, world-class communities that offer luxurious lifestyles.""}","424, Third sector, North 90 - New Cairo",0,0,1,0,NULL,1/10/2026 12:38,NULL,12
17,"{""ar"": ""مراكز"", ""en"": ""Marakez""}",NULL,https://marakez.net,https://www.facebook.com/MarakezEgypt,https://www.instagram.com/marakezegypt/,NULL,+20 19876,"{""ar"": ""مراكز هي مطور عقاري رائد للمشاريع متعددة الاستخدامات في مصر، وتشتهر بدقتها وعنايتها الفائقة في إنشاء مشاريع تلبي احتياجات العملاء. بصفتها عضوًا فخورًا في مجموعة فواز الحكير، تتخصص الشركة في تطوير العقارات السكنية والتجارية على حد سواء. يضم محفظتها مشاريع بارزة مثل ديستريكت 5، وأيون تاورز، وجيزة تيراس، مما يعزز مكانتها في السوق المصري."", ""en"": ""Marakez is a leading mixed-use developer in Egypt, recognized for its meticulous attention to detail in creating projects that cater to client needs. As a proud member of the Fawaz Al Hokair group, the company specializes in both residential and commercial real estate developments. Their portfolio includes prominent projects like District 5, Aeon Towers, and Gize Terrace, solidifying their position in the Egyptian market.""}","Kilo 9 – Cairo Ain Sokhna New Road, New Cairo – Egypt, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,6
18,"{""ar"": ""تي بي كي"", ""en"": ""Tbk""}",2019,https://tbkdevelopments.com/,https://www.facebook.com/tbk.developments,NULL,https://www.linkedin.com/company/tbk-developments,15902,"{""ar"": ""تأسست تي بي كي للتطوير العقاري في عام 2019، وهي مطور عقاري بارز في مصر، تشتهر بإنشاء مساكن فاخرة ومجتمعات نابضة بالحياة. تتضمن محفظة الشركة مجموعة واسعة من المشاريع، تتراوح من المنازل الساحلية إلى المجمعات السكنية الراقية. وقد وسعت تي بي كي عملياتها خارج مصر، لتؤسس حضوراً قوياً في دول مجلس التعاون الخليجي بفروع في الرياض وجدة والكويت وأبو ظبي."", ""en"": ""TBK Developments, established in 2019, is a prominent real estate developer in Egypt, known for creating luxurious residences and vibrant communities. The companys portfolio spans a wide range of projects, from coastal homes to high-end residential compounds. TBK has expanded its operations beyond Egypt, establishing a significant presence in the GCC with branches in Riyadh, Jeddah, Kuwait, and Abu Dhabi.""}","90 Avenue, 90th St. Infront of AUC Fifth Settlement, New Cairo",0,0,1,0,NULL,1/10/2026 12:38,NULL,5
19,"{""ar"": ""إم سكويرد"", ""en"": ""M Squared""}",2012,https://www.msquaredev.com/,https://www.facebook.com/Msquareddev/,NULL,https://www.linkedin.com/company/msquaredev,19979,"{""ar"": ""تأسست إم سكويرد في عام 2012، وهي مطور عقاري يركز على الإنسان، مشهور بنهجه المتكامل في الحياة العصرية. وبصفتها شركة تابعة لمجموعة إنترو القابضة المرموقة، تهدف إلى إحداث ثورة في صناعة العقارات في مصر. تركز الشركة على إنشاء مفاهيم سكنية وتجارية مميزة تعطي الأولوية للإنسانية والطبيعة، وتبني مساحات مصممة ببراعة لمجتمعات عصرية حصرية."", ""en"": ""M squared, founded in 2012, is a human-centric real estate developer known for its integrated approach to modern living. As a subsidiary of the acclaimed Intro Holding group, it aims to revolutionize the real estate industry in Egypt. The company focuses on creating iconic residential and commercial concepts that prioritize humanity and nature, building masterfully designed spaces for exclusive modern communities.""}","2 Wadi El Nile St.,Mohandessin, 10th floor - Giza - Egypt.",4,1,1,0,NULL,1/10/2026 12:38,NULL,5
20,"{""ar"": ""أورا ديفيلوبرز إيجيبت"", ""en"": ""Ora Developers Egypt""}",1977,https://www.ora-egypt.com,https://www.facebook.com/OraEgypt1/,https://instagram.com/oraegypt?igshid=YmMyMTA2M2Y=,https://www.linkedin.com/company/ora-developers-egypt/,NULL,"{""ar"": ""شركة أورا ديفيلوبرز إيجيبت هي مطور عقاري مصري يركز على إنشاء مجتمعات سكنية متكاملة موجهة لنمط الحياة. تضم محفظتها مشاريع مثل Silversands North Coast وPyramid Hills وZED East وZED El Sheikh Zayed وSolana by Ora. يقع المقر الرئيسي للشركة في القاهرة وتعمل على تنفيذ مشاريع مخططة واسعة النطاق في أنحاء مصر."", ""en"": ""Ora Developers Egypt is an Egyptian real estate developer focusing on masterplanned, lifestyle-led residential communities. Its portfolio includes projects such as Silversands North Coast, Pyramid Hills, ZED East, ZED El Sheikh Zayed and Solana by Ora. The company is headquartered in Cairo and delivers large-scale integrated developments across Egypt.""}","Cairo, Cornich El Nile, Cairo",5,0,1,0,NULL,1/10/2026 12:38,NULL,5
21,"{""ar"": ""أرابيا هولدنج"", ""en"": ""Arabia Holding""}",1998,https://arabia-holding.com/,https://www.facebook.com/arabiadevelopmentofficial/,https://www.instagram.com/arabiaholding.eg/?hl=en,https://www.linkedin.com/company/arabia-holding/,+20 19217,"{""ar"": ""تعد أرابيا هولدنج، المعروفة أيضًا باسم أرابيا للتطوير، قوة رائدة في قطاع العقارات المصري لأكثر من 30 عامًا. تأسست الشركة عام 1998 كشركة مساهمة مصرية، وأصبحت رائدة في تقديم مشاريع مبتكرة وعالية الجودة. تلتزم الشركة بإعادة تعريف العقارات من خلال الابتكار والاستدامة والتميز عبر مشاريعها المتنوعة."", ""en"": ""Arabia Holding, also known as Arabia Developments, has been a pioneering force in the Egyptian real estate sector for over 30 years. Established in 1998 as an Egyptian joint stock company, it has become a leader in delivering innovative and high-quality developments. The company is committed to redefining real estate through innovation, sustainability, and excellence across its diverse projects.""}","48 N 90th Street, New Cairo, Cairo",6,6,1,0,NULL,1/10/2026 12:38,NULL,12
22,"{""ar"": ""هورايزون إيجيبت ديفيلوبمنتس"", ""en"": ""Horizon Egypt Developments""}",NULL,https://horizon-egy.com/,https://www.facebook.com/HorizonEgyptDevelopments/,https://www.instagram.com/horizon.egypt.developments/,https://www.linkedin.com/in/horizon-egypt-developments,17033,"{""ar"": ""هورايزون إيجيبت ديفيلوبمنتس هي شركة عقارية تمتلك محفظة كبيرة من المواقع العقارية المرغوبة، وتلتزم بتقديم مشاريع فريدة ذات جودة فائقة. تهدف الشركة إلى الحفاظ على التراث الثقافي والفكري والفني وتحديثه من خلال إنشاء مجتمعات حضرية وتجارية متكاملة تعزز نمط حياة راقياً. تعمل الشركة تحت قيادة إماراتية، وتحديداً الشيخ ماجد النعيمي، مما يعكس الروابط المصرية الإماراتية القوية في رؤيتها ومشاريعها."", ""en"": ""Horizon Egypt Developments is a real estate company with a significant portfolio of desirable land locations, committed to curating unique developments of superior quality. The company aims to preserve and modernize cultural, intellectual, and artistic heritage by creating integrated urban and commercial communities that foster a sophisticated lifestyle. Operating under Emirati leadership, specifically Sheikh Majid Al Nuaimi, Horizon Egypt Developments reflects strong Egyptian-Emirati ties in its vision and projects.""}","Unit DT 4, 3rd floor, Building D, Waterway 5A Project - South Investors",0,0,1,0,NULL,1/10/2026 12:38,NULL,1
23,"{""ar"": ""تعمير"", ""en"": ""tāmeer""}",1954,https://tameer.com.eg/,https://www.facebook.com/TAMEER.RealEstate,https://www.instagram.com/tameer.realestate/,https://www.linkedin.com/company/tameer-consultancy,19907,"{""ar"": ""تأسست تعمير عام 1954، وهي شركة مصرية رائدة في تطوير العقارات ذات تاريخ عريق يمتد لثلاثة أجيال. لقد تطورت الشركة لتصبح واحدة من أكثر شركات التطوير العقاري شمولاً في مصر، وتوظف أكثر من 150 فردًا يغطون مختلف مجالات الصناعة. نجحت تعمير في تسليم أكثر من 27,500 وحدة، مع التركيز المستمر على إنشاء مجتمعات سكنية مستدامة ثقافيًا."", ""en"": ""Tameer, established in 1954, is a leading Egyptian real estate development company with a proud and extensive history spanning three generations. The company has grown to become one of Egypts most comprehensive real estate developers, employing over 150 individuals across various industry areas. Tameer has successfully delivered more than 27,500 units, consistently focusing on creating culturally sustainable housing communities.""}","TAMEER Building, 4 Tawfik Diab St., Garden City, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,10
24,"{""ar"": ""المراسم"", ""en"": ""AlMarasem Development""}",2017,https://almarasemdevelopment.com/,https://www.facebook.com/almarasemdevelopment/,https://www.instagram.com/almarasemdevelopment/,https://www.linkedin.com/company/almarasemgroup,+202 2276 1111,"{""ar"": ""المراسم للتطوير العقاري هي شركة تطوير عقاري مصرية، تأسست عام 2017 كذراع عقاري لشركة المراسم الدولية للتطوير التي بدأت أعمالها عام 1997. تشتهر الشركة بمحفظتها المتنوعة من المشاريع، والتي تشمل التطورات السكنية والتجارية. يقع مقرها الرئيسي في القاهرة الجديدة بمصر، وتحافظ على حضور قوي عبر منصات التواصل الاجتماعي المختلفة."", ""en"": ""AlMarasem Development is an Egyptian real estate developer, established in 2017 as the real estate arm of Al Marasem International For Development, which began in 1997. The company is known for its diverse portfolio of projects, including residential and commercial developments. Its head office is situated in New Cairo, Egypt, and it maintains a strong online presence across various social media platforms.""}",Bld# 4/A1 – Parcel 33 - Mivida Compound New Cairo – Egypt,0,0,1,0,NULL,1/10/2026 12:38,NULL,3
25,"{""ar"": ""رويا ديفيلوبمنتس"", ""en"": ""Roya Developments""}",2007,https://www.royadevelopments.com/,https://www.facebook.com/RoyaDevelopments,https://instagram.com/royadevelopments,https://www.linkedin.com/company/roya-developments/,16466,"{""ar"": ""رويا ديفيلوبمنتس هي شركة تطوير عقاري مصرية تأسست عام 2007 تعمل على تنفيذ مشروعات سكنية ومشروعات متعددة الاستخدام في مختلف أنحاء مصر. تضم محفظتها مشروعات مثل ذا بيج بيزنس ديستركت وتلال إيست وذا هيلز في ستون بارك وتلال الساحل الشمالي إلى جانب مشروعات أخرى. يذكر الموقع الرسمي وجود مقر رئيسي بالقاهرة ويعرض معلومات الاتصال وروابط الحسابات الرسمية على منصات التواصل."", ""en"": ""Roya Developments is an Egyptian real estate developer established in 2007 that delivers residential and mixed-use projects across Egypt. Its portfolio includes The Big Business District, Telal East, The Hills at Stone Park and Telal North Coast among other developments. The company lists a Cairo head office and provides contact details and official social profiles on its website.""}","1150/3 Abdel Hameed Badawy St., Sheraton Buildings Helioples, Cairo,Egypt.",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
